size,InsertionSort,QuickSort
2,5.7992e-08,6.8672e-08
3,6.7176e-08,7.3544e-08
4,8.8764e-08,8.85e-08
5,9.8816e-08,1.04004e-07
6,1.37004e-07,3.11728e-07
7,1.62656e-07,3.20136e-07
8,2.0912e-07,3.50852e-07
9,2.4652e-07,3.66536e-07
10,3.01684e-07,4.58736e-07
11,3.72024e-07,4.7806e-07
12,4.07844e-07,5.5306e-07
13,5.1174e-07,5.78024e-07
14,5.4094e-07,6.34344e-07
15,6.10312e-07,6.243e-07
16,6.63376e-07,7.55404e-07
17,7.61544e-07,6.63948e-07
18,8.57732e-07,7.25296e-07
19,8.84564e-07,7.0806e-07
20,1.00357e-06,8.342e-07
21,1.01604e-06,8.42608e-07
22,1.09877e-06,9.03344e-07
23,1.17987e-06,9.72488e-07
24,1.27757e-06,1.04862e-06
25,1.43817e-06,1.0981e-06
26,1.50058e-06,1.19417e-06
27,1.56828e-06,1.15164e-06
28,1.66557e-06,1.2107e-06
29,1.88001e-06,1.2304e-06
30,1.98595e-06,1.33394e-06
31,2.10676e-06,1.29821e-06
32,2.11631e-06,1.31551e-06
33,2.23941e-06,1.33814e-06
34,2.40107e-06,1.3644e-06
35,2.52809e-06,1.37403e-06
36,2.74262e-06,1.4686e-06
37,2.87337e-06,1.44679e-06
38,2.91432e-06,1.50688e-06
39,3.12918e-06,1.60443e-06
40,3.25284e-06,1.80258e-06
41,3.53012e-06,1.64491e-06
42,3.57017e-06,1.75874e-06
43,3.74587e-06,1.75313e-06
44,3.95815e-06,1.91354e-06
45,4.03773e-06,2.04243e-06
46,4.17884e-06,2.20695e-06
47,4.42556e-06,2.3205e-06
48,4.5351e-06,2.26637e-06
49,4.62586e-06,2.32364e-06
50,4.77812e-06,2.36989e-06
51,4.96125e-06,2.33825e-06
52,5.17709e-06,2.49092e-06
53,5.50029e-06,2.53378e-06
54,5.70242e-06,2.59516e-06
55,5.83224e-06,2.51772e-06
56,6.16424e-06,2.67276e-06
57,6.22067e-06,2.56329e-06
58,6.41416e-06,2.65305e-06
59,6.54464e-06,2.62346e-06
60,7.00298e-06,2.71268e-06
61,7.06856e-06,2.8614e-06
62,7.34014e-06,2.7571e-06
63,7.40801e-06,2.83545e-06
64,7.63224e-06,2.94328e-06
65,7.9868e-06,2.78484e-06
66,8.24093e-06,2.94558e-06
67,8.47526e-06,2.83181e-06
68,8.73991e-06,2.99498e-06
69,9.46413e-06,2.89161e-06
70,9.25348e-06,2.94589e-06
71,9.34381e-06,3.04803e-06
72,9.52236e-06,3.02946e-06
73,1.02638e-05,2.97827e-06
74,1.0121e-05,3.08023e-06
75,1.02335e-05,3.08789e-06
76,1.056e-05,3.12863e-06
77,1.08588e-05,3.1285e-06
78,1.12072e-05,3.36963e-06
79,1.22142e-05,3.23773e-06
80,1.19184e-05,3.53574e-06
81,1.22742e-05,3.34033e-06
82,1.2242e-05,3.42876e-06
83,1.25116e-05,3.49473e-06
84,1.30295e-05,3.6976e-06
85,1.35196e-05,3.69446e-06
86,1.33966e-05,3.79226e-06
87,1.38021e-05,3.83369e-06
88,1.43417e-05,4.06364e-06
89,1.47848e-05,4.03073e-06
90,1.47398e-05,4.11783e-06
91,1.49212e-05,4.21379e-06
92,1.56808e-05,4.34134e-06
93,1.58742e-05,4.54299e-06
94,1.62214e-05,4.57043e-06
95,1.66404e-05,4.6306e-06
96,1.69694e-05,4.77816e-06
97,1.73032e-05,4.79406e-06
98,1.77016e-05,4.89246e-06
99,1.78771e-05,4.89798e-06
100,1.84811e-05,4.86894e-06
